subject	session	physio_series_uid	exclusion_class	channels_available	matched_bold	duration	sampling_frequency	start_time_available	reason_fr	recoverability	recovery_note	mapping_confidence	resolution_status	resolution_note	resolved_date
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114421457772372408.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-movie_run-07	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114503842029648257.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-movie_run-09	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-007	ses-01	1.3.12.2.1107.5.2.43.166092.2023053114541058351623382.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-007_ses-01_task-rest_run-01	299.84		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210303248654361997.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-control_run-01	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060211245859776848560.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-control_run-03	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210211599365300347.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-fmri_run-05	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210250397658481168.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-fmri_run-07	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210313715585769482.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-fmri_run-01	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210362610645450311.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-fmri_run-03	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210401392356331132.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-movie_run-01	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210444387023506257.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-movie_run-03	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210515257267181382.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-movie_run-05	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210554419937356507.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-movie_run-07	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-008	ses-01	1.3.12.2.1107.5.2.43.166092.2023060210591678345931632.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-008_ses-01_task-rest_run-01	299.84		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810175153454461989.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-control_run-01	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060811015830950848532.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-control_run-03	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060811041164002556021.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-control_run-05	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810092179524200347.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-fmri_run-05	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810130945281281168.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-fmri_run-07	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810185919942869474.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-fmri_run-01	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810222752862150295.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-fmri_run-03	211.762		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810280753370831840.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-movie_run-01	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810314017362206965.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-movie_run-03	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810354278229182090.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-movie_run-05	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810393746873957215.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-movie_run-07	196.77		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-009	ses-01	1.3.12.2.1107.5.2.43.166092.2023060810435348739032340.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-009_ses-01_task-rest_run-01	299.84		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	No alternate PhysioLog/PMU; no ses-01 .puls/.resp. DEFINITIVE exclude BIDS run-wise.	2026-07-29
sub-042	ses-01	1.3.12.2.1107.5.2.43.166092.202405131648092704121375.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-042_ses-01_task-control_run-03	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	Peripheral .puls/.resp exist (session-wide) but no documented/site-confirmed ADC SF; cannot invent Hz or run-cut. DEFINITIVE exclude these 2 UIDs from BIDS run-wise.	2026-07-29
sub-042	ses-01	1.3.12.2.1107.5.2.43.166092.2024051316502081082028864.0.0.0	NO_SAMPLETIME_AND_NO_STARTTIME	PhysioLog	sub-042_ses-01_task-control_run-05	18.74		no	SampleTime CSA absent et StartTime impossible (tick 1er canal manquant).	LIKELY_DEFINITIVE_LOSS	CSA SampleTime absent and StartTime impossible; cannot derive SamplingFrequency without inventing Hz.		DEFINITIVE_EXCLUSION	Peripheral .puls/.resp exist (session-wide) but no documented/site-confirmed ADC SF; cannot invent Hz or run-cut. DEFINITIVE exclude these 2 UIDs from BIDS run-wise.	2026-07-29
