file	raw_frequency_field	candidate_sampling_frequency	confidence	reason
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.puls	ECG Freq Per: 0 0 | PULS Freq Per: 66 906 | RESP Freq Per: 15 3780 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.puls	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.resp	ECG Freq Per: 0 0 | PULS Freq Per: 66 901 | RESP Freq Per: 15 3780 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/peripheral recording/SUBC037_SESSION2_2024AUG30.resp	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ecg	ECG Freq Per: 0 0 | PULS Freq Per: 0 0 | RESP Freq Per: 15 3840 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ecg	siemens_literature_default_hypothesis=400.0	400.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext	ECG Freq Per: 0 0 | PULS Freq Per: 0 0 | RESP Freq Per: 14 4200 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.ext2	ECG Freq Per: 0 0 | PULS Freq Per: 0 0 | RESP Freq Per: 14 4200 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.pmu	NA	NA	INVALID	No frequency-related field recovered.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.puls	ECG Freq Per: 0 0 | PULS Freq Per: 0 0 | RESP Freq Per: 14 4200 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.puls	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.resp	ECG Freq Per: 0 0 | PULS Freq Per: 0 0 | RESP Freq Per: 14 4200 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session2_2023NOV10_Peripheral/SUBC03-session-202023NOV10.resp	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ecg	ECG Freq Per: 0 0 | PULS Freq Per: 73 820 | RESP Freq Per: 21 2780 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ecg	siemens_literature_default_hypothesis=400.0	400.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext	ECG Freq Per: 0 0 | PULS Freq Per: 62 966 | RESP Freq Per: 14 4060 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.ext2	ECG Freq Per: 0 0 | PULS Freq Per: 62 966 | RESP Freq Per: 15 3880 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.pmu	NA	NA	INVALID	No frequency-related field recovered.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.puls	ECG Freq Per: 0 0 | PULS Freq Per: 62 966 | RESP Freq Per: 14 4060 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.puls	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.resp	ECG Freq Per: 0 0 | PULS Freq Per: 62 965 | RESP Freq Per: 14 4060 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION2-2023NOV19/SUBC04_Session02_2023NOV19-peripheral/SUBC04_Session02_2023NOV19.resp	siemens_literature_default_hypothesis=50.0	50.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ecg	ECG Freq Per: 0 0 | PULS Freq Per: 55 1090 | RESP Freq Per: 13 4600 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ecg	siemens_literature_default_hypothesis=400.0	400.0	LOW	Undocumented Siemens model-default hypothesis only; forbidden for conversion.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext	ECG Freq Per: 0 0 | PULS Freq Per: 53 1118 | RESP Freq Per: 12 4820 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.ext2	ECG Freq Per: 0 0 | PULS Freq Per: 53 1118 | RESP Freq Per: 12 4820 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.pmu	NA	NA	INVALID	No frequency-related field recovered.
/lustre06/project/6001995/raw_original/Control/SUBC05-Session2-2023NOV25/SUBC05-Session2-2023NOV25-physio/SUBC05_Session02_2023NOV25.puls	ECG Freq Per: 0 0 | PULS Freq Per: 53 1118 | RESP Freq Per: 12 4820 | EXT Freq Per: 0 0 | EXT2 Freq Per: 0 0	NA	INVALID	Siemens 'Freq Per' reports physiological rate (e.g. bpm) and period (ms), NOT ADC SamplingFrequency. Explicitly rejected.
